Product,Period,Value
9,1,5561.0
9,2,5158.0
9,3,5109.0
9,4,4691.0
9,5,5589.0
9,6,5286.0
9,7,5187.0
9,8,4968.0
9,9,5724.0
9,10,5409.0
9,11,5186.0
9,12,5046.0
9,13,5811.0
9,14,5393.0
9,15,5406.0
9,16,4937.0
9,17,5863.0
9,18,5559.0
9,19,5458.0
9,20,5485.0
9,21,6049.0
9,22,5653.0
9,23,5629.0
9,24,5465.0
9,25,6237.0
9,26,6007.0
9,27,5673.0
9,28,5383.0
9,29,6255.0
9,30,5866.0
9,31,5673.0
9,32,5678.0
9,33,6525.0
9,34,6016.0
9,35,5821.0
9,36,5638.0
9,37,6431.0
9,38,6216.0
9,39,6198.0
9,40,5610.0
