Product,Period,Value
7,1,13654.0
7,2,13577.0
7,3,13760.0
7,4,13723.0
7,5,13624.0
7,6,13472.0
7,7,13459.0
7,8,13564.0
7,9,13748.0
7,10,13620.0
7,11,13506.0
7,12,13608.0
7,13,13568.0
7,14,13408.0
7,15,13551.0
7,16,13522.0
7,17,13444.0
7,18,13595.0
7,19,13550.0
7,20,13545.0
7,21,13635.0
7,22,13644.0
7,23,13565.0
7,24,13707.0
7,25,13537.0
7,26,13818.0
7,27,13710.0
7,28,13545.0
7,29,13674.0
7,30,13699.0
7,31,13493.0
7,32,13764.0
7,33,13563.0
7,34,13615.0
7,35,13669.0
7,36,13442.0
7,37,13435.0
7,38,13639.0
7,39,13382.0
7,40,13403.0
