Product,Period,Value
4,1,6982.0
4,2,7142.0
4,3,7117.0
4,4,7245.0
4,5,7280.0
4,6,7382.0
4,7,7488.0
4,8,7334.0
4,9,7478.0
4,10,7421.0
4,11,7555.0
4,12,7403.0
4,13,7642.0
4,14,7549.0
4,15,7521.0
4,16,7685.0
4,17,7665.0
4,18,7797.0
4,19,7739.0
4,20,7854.0
4,21,7817.0
4,22,7970.0
4,23,7887.0
4,24,8003.0
4,25,8067.0
4,26,8310.0
4,27,8264.0
4,28,8172.0
4,29,8340.0
4,30,8169.0
4,31,8458.0
4,32,8281.0
4,33,8476.0
4,34,8345.0
4,35,8556.0
4,36,8535.0
4,37,8461.0
4,38,8534.0
4,39,8634.0
4,40,8749.0
