Product,Period,Value
10,1,18837.0
10,2,19110.0
10,3,19847.0
10,4,18020.0
10,5,18377.0
10,6,18776.0
10,7,19542.0
10,8,17870.0
10,9,18134.0
10,10,18370.0
10,11,19157.0
10,12,17516.0
10,13,17898.0
10,14,17923.0
10,15,18774.0
10,16,16989.0
10,17,17608.0
10,18,17685.0
10,19,18430.0
10,20,16695.0
10,21,17167.0
10,22,17477.0
10,23,18246.0
10,24,16559.0
10,25,16852.0
10,26,16962.0
10,27,17886.0
10,28,16178.0
10,29,16576.0
10,30,16702.0
10,31,17450.0
10,32,15775.0
10,33,16124.0
10,34,16481.0
10,35,17028.0
10,36,15595.0
10,37,16009.0
10,38,15870.0
10,39,16561.0
10,40,15203.0
