Product,Period,Value
2,1,10601.0
2,2,10447.0
2,3,10706.0
2,4,10833.0
2,5,10838.0
2,6,10916.0
2,7,11034.0
2,8,11112.0
2,9,11074.0
2,10,11186.0
2,11,11305.0
2,12,11400.0
2,13,11376.0
2,14,11689.0
2,15,11616.0
2,16,11843.0
2,17,11691.0
2,18,11833.0
2,19,11647.0
2,20,11904.0
2,21,11967.0
2,22,12120.0
2,23,12110.0
2,24,12236.0
2,25,12261.0
2,26,12320.0
2,27,12462.0
2,28,12588.0
2,29,12635.0
2,30,12718.0
2,31,12792.0
2,32,13031.0
2,33,12962.0
2,34,12856.0
2,35,13349.0
2,36,13070.0
2,37,13214.0
2,38,13499.0
2,39,13360.0
2,40,13492.0
