Product,Period,Value
5,1,8328.0
5,2,8508.0
5,3,8428.0
5,4,8410.0
5,5,8534.0
5,6,8316.0
5,7,8340.0
5,8,8232.0
5,9,8397.0
5,10,8302.0
5,11,8268.0
5,12,8375.0
5,13,8538.0
5,14,8446.0
5,15,8282.0
5,16,8172.0
5,17,8546.0
5,18,8543.0
5,19,8372.0
5,20,8225.0
5,21,8401.0
5,22,8134.0
5,23,8323.0
5,24,8451.0
5,25,8518.0
5,26,8317.0
5,27,8367.0
5,28,8414.0
5,29,8404.0
5,30,8111.0
5,31,8174.0
5,32,8312.0
5,33,8473.0
5,34,8380.0
5,35,8531.0
5,36,8500.0
5,37,8355.0
5,38,8435.0
5,39,8330.0
5,40,8398.0
