Product,Period,Value
6,1,9587.0
6,2,9425.0
6,3,9388.0
6,4,9705.0
6,5,9560.0
6,6,9265.0
6,7,9338.0
6,8,9469.0
6,9,9600.0
6,10,9091.0
6,11,9297.0
6,12,9412.0
6,13,9580.0
6,14,9149.0
6,15,9076.0
6,16,9333.0
6,17,9134.0
6,18,9153.0
6,19,9199.0
6,20,9359.0
6,21,9341.0
6,22,8970.0
6,23,9005.0
6,24,9353.0
6,25,9128.0
6,26,8982.0
6,27,8870.0
6,28,9119.0
6,29,9189.0
6,30,8776.0
6,31,8848.0
6,32,9082.0
6,33,8965.0
6,34,8717.0
6,35,8731.0
6,36,9067.0
6,37,8975.0
6,38,8742.0
6,39,8586.0
6,40,8960.0
