Product,Period,Value
8,1,10323.0
8,2,10475.0
8,3,10512.0
8,4,10516.0
8,5,10316.0
8,6,10538.0
8,7,10626.0
8,8,10590.0
8,9,10547.0
8,10,10431.0
8,11,10311.0
8,12,10590.0
8,13,10450.0
8,14,10556.0
8,15,10360.0
8,16,10444.0
8,17,10418.0
8,18,10401.0
8,19,10424.0
8,20,10234.0
8,21,10456.0
8,22,10635.0
8,23,10604.0
8,24,10568.0
8,25,10564.0
8,26,10526.0
8,27,10680.0
8,28,10480.0
8,29,10574.0
8,30,10352.0
8,31,10525.0
8,32,10417.0
8,33,10709.0
8,34,10536.0
8,35,10456.0
8,36,10509.0
8,37,10562.0
8,38,10558.0
8,39,10573.0
8,40,10328.0
